nombre,descripcion,precio,stock,umbral_minimo,umbral_maximo,modelo,id_categoria,imagen,visible
Accesorio multicompatible Xiaomi 12,Accesorio multifunción compatible con Xiaomi Redmi Note 12,39,20,5,30,Xiaomi Redmi Note 12,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Motorola G73,Celular con 8GB RAM y cámara de 50MP,1350,8,5,25,Motorola G73,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Motorola G73 original,Cargador rápido compatible con Motorola G73,89,20,5,30,Motorola G73,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Motorola G73 estéreo,Audífonos con micrófono compatibles con Motorola G73,59,25,6,40,Motorola G73,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Motorola G73 reforzada,Funda protectora reforzada para Motorola G73,45,35,8,50,Motorola G73,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Motorola G73 9H,Protector de pantalla 9H para Motorola G73,25,50,10,100,Motorola G73,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte magnético Motorola G73,Soporte de auto magnético para Motorola G73,35,18,4,25,Motorola G73,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio multicompatible Motorola G73,Accesorio multifunción compatible con Motorola G73,39,20,5,30,Motorola G73,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Samsung Galaxy S22,Celular de alta gama con Snapdragon 8 Gen 1,3399,10,5,25,Samsung Galaxy S22,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Samsung S22 original,Cargador rápido compatible con Samsung Galaxy S22,89,20,5,30,Samsung Galaxy S22,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Samsung S22 estéreo,Audífonos con micrófono compatibles con Samsung Galaxy S22,59,25,6,40,Samsung Galaxy S22,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Samsung S22 reforzada,Funda protectora reforzada para Samsung Galaxy S22,45,35,8,50,Samsung Galaxy S22,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Samsung S22 9H,Protector de pantalla 9H para Samsung Galaxy S22,25,50,10,100,Samsung Galaxy S22,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte magnético Samsung S22,Soporte de auto magnético para Samsung Galaxy S22,35,18,4,25,Samsung Galaxy S22,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio multicompatible Samsung S22,Accesorio multifunción compatible con Samsung Galaxy S22,39,20,5,30,Samsung Galaxy S22,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Realme 11 Pro 5G,Smartphone con cámara 100MP y pantalla curva AMOLED,1580,10,3,20,Realme 11 Pro,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Realme 11 Pro SuperVOOC,Cargador 67W SuperVOOC para Realme 11 Pro,95,22,5,30,Realme 11 Pro,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Realme Buds Classic,Audífonos con sonido potente y micrófono,49,28,6,40,Realme Buds,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Realme 11 Pro antifall,Funda con esquinas reforzadas para caídas,39,32,5,50,Realme 11 Pro,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Realme 11 Pro HD,Protector de pantalla anti-rayaduras HD+,22,45,10,90,Realme 11 Pro,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte Realme auto magnético,Soporte magnético giratorio para vehículo,30,16,4,25,Realme 11 Pro,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio Realme multifunción,Anillo soporte y limpiador de pantalla,35,20,5,30,Realme,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
iPhone 13,Apple con chip A15 Bionic y cámara dual,3990,8,2,15,iPhone 13,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador original Apple 20W,Cargador USB-C rápido original Apple,110,15,3,25,iPhone 13,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Apple Earpods con cable,Sonido estéreo con conector Lightning,99,20,4,35,Earpods,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda iPhone 13 silicona,Funda original con protección interior,60,30,5,50,iPhone 13,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado iPhone 13,Protector full cover 9H para iPhone 13,35,40,8,80,iPhone 13,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte Apple MagSafe soporte auto,Soporte compatible con MagSafe imantado,45,12,4,20,Apple MagSafe,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio limpieza Apple Kit,Kit de limpieza para iPhone y AirPods,49,25,5,30,Apple,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Huawei Nova 10 SE,Teléfono con cámara 108MP y carga 66W,1380,12,4,20,Huawei Nova 10 SE,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Huawei 66W,Original SuperCharge para Nova 10 SE,92,18,5,30,Huawei Nova,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Huawei FreeBuds SE,Inalámbricos con cancelación de ruido,129,15,5,35,FreeBuds SE,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Huawei Nova 10 SE silicona,Funda flexible transparente antideslizante,35,20,5,40,Nova 10 SE,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Huawei Nova 10 SE,Protector 5D full cover vidrio templado,27,30,8,70,Nova 10 SE,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte universal para Huawei,Compatible con todo modelo Huawei auto,29,18,5,25,Huawei Universal,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio Huawei combo 3 en 1,"Combo cable USB-C, paño y anillo soporte",44,22,6,30,Huawei Nova,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Nokia G60 5G,Teléfono económico con gran batería,990,14,5,25,Nokia G60,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Nokia rápido 18W,Cargador original con USB-C,69,20,5,30,Nokia G60,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Nokia con micrófono,Estéreo con botón multifunción,45,26,5,40,Nokia,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
